case_id,case_type,network,baseline,accepted
case14:duplicate_generator_n1:f0.005,harmful_alias,case14,B0_no_validation,True
case14:duplicate_generator_n1:f0.005,harmful_alias,case14,B1_feature_only,True
case14:duplicate_generator_n1:f0.005,harmful_alias,case14,B2_schema_only,True
case14:duplicate_generator_n1:f0.005,harmful_alias,case14,B3_conservation_only,True
case14:duplicate_generator_n1:f0.005,harmful_alias,case14,B4_id_only,False
case14:duplicate_generator_n1:f0.005,harmful_alias,case14,B5_provenance_signature_without_semantics,True
case14:duplicate_generator_n1:f0.005,harmful_alias,case14,B6_full_PCC,False
case14:duplicate_generator_n1:f0.01,harmful_alias,case14,B0_no_validation,True
case14:duplicate_generator_n1:f0.01,harmful_alias,case14,B1_feature_only,True
case14:duplicate_generator_n1:f0.01,harmful_alias,case14,B2_schema_only,True
case14:duplicate_generator_n1:f0.01,harmful_alias,case14,B3_conservation_only,True
case14:duplicate_generator_n1:f0.01,harmful_alias,case14,B4_id_only,False
case14:duplicate_generator_n1:f0.01,harmful_alias,case14,B5_provenance_signature_without_semantics,True
case14:duplicate_generator_n1:f0.01,harmful_alias,case14,B6_full_PCC,False
case14:duplicate_generator_n1:f0.02,harmful_alias,case14,B0_no_validation,True
case14:duplicate_generator_n1:f0.02,harmful_alias,case14,B1_feature_only,True
case14:duplicate_generator_n1:f0.02,harmful_alias,case14,B2_schema_only,True
case14:duplicate_generator_n1:f0.02,harmful_alias,case14,B3_conservation_only,True
case14:duplicate_generator_n1:f0.02,harmful_alias,case14,B4_id_only,False
case14:duplicate_generator_n1:f0.02,harmful_alias,case14,B5_provenance_signature_without_semantics,True
case14:duplicate_generator_n1:f0.02,harmful_alias,case14,B6_full_PCC,False
case14:duplicate_generator_n1:f0.03,harmful_alias,case14,B0_no_validation,True
case14:duplicate_generator_n1:f0.03,harmful_alias,case14,B1_feature_only,True
case14:duplicate_generator_n1:f0.03,harmful_alias,case14,B2_schema_only,True
case14:duplicate_generator_n1:f0.03,harmful_alias,case14,B3_conservation_only,True
case14:duplicate_generator_n1:f0.03,harmful_alias,case14,B4_id_only,False
case14:duplicate_generator_n1:f0.03,harmful_alias,case14,B5_provenance_signature_without_semantics,True
case14:duplicate_generator_n1:f0.03,harmful_alias,case14,B6_full_PCC,False
case14:duplicate_generator_n1:f0.05,harmful_alias,case14,B0_no_validation,True
case14:duplicate_generator_n1:f0.05,harmful_alias,case14,B1_feature_only,True
case14:duplicate_generator_n1:f0.05,harmful_alias,case14,B2_schema_only,True
case14:duplicate_generator_n1:f0.05,harmful_alias,case14,B3_conservation_only,True
case14:duplicate_generator_n1:f0.05,harmful_alias,case14,B4_id_only,False
case14:duplicate_generator_n1:f0.05,harmful_alias,case14,B5_provenance_signature_without_semantics,True
case14:duplicate_generator_n1:f0.05,harmful_alias,case14,B6_full_PCC,False
case14:duplicate_generator_n1:f0.08,harmful_alias,case14,B0_no_validation,True
case14:duplicate_generator_n1:f0.08,harmful_alias,case14,B1_feature_only,True
case14:duplicate_generator_n1:f0.08,harmful_alias,case14,B2_schema_only,True
case14:duplicate_generator_n1:f0.08,harmful_alias,case14,B3_conservation_only,True
case14:duplicate_generator_n1:f0.08,harmful_alias,case14,B4_id_only,False
case14:duplicate_generator_n1:f0.08,harmful_alias,case14,B5_provenance_signature_without_semantics,True
